Test,Animal,Treatment,Day,Trial,Duration,Distance,WMC_error,RM_error
481,11,SEA E12.5,6,1,8.3,1.358,0,2
482,11,SEA E12.5,6,2,3.2,0.508,0,1
483,11,SEA E12.5,6,3,31.7,5.751,6,10
484,11,SEA E12.5,6,4,18.2,2.457,5,1
485,12,SEA E12.5,6,1,8.3,0.753,0,1
486,12,SEA E12.5,6,2,8.4,0.961,0,2
487,12,SEA E12.5,6,3,3.1,0.373,0,1
488,12,SEA E12.5,6,4,60,8.557,13,13
489,13,SEA E12.5,6,1,5,0.665,0,1
490,13,SEA E12.5,6,2,5.4,0.637,0,1
491,13,SEA E12.5,6,3,120,11.456,16,10
492,13,SEA E12.5,6,4,29.5,1.423,0,2
493,14,SEA E12.5,6,1,19.5,2.412,0,4
494,14,SEA E12.5,6,2,20,2.794,1,3
495,14,SEA E12.5,6,3,4.3,0.543,0,1
496,14,SEA E12.5,6,4,40.8,5.716,14,0
497,15,SEA E12.5,6,1,31.7,2.512,0,7
498,15,SEA E12.5,6,2,12.2,1.516,2,0
499,15,SEA E12.5,6,3,120,3.921,6,4
500,15,SEA E12.5,6,4,120,2.679,0,12
501,16,SEA E12.5,6,1,120,3.092,0,2
